,등급,어휘,품사,길잡이말
909,2급,직장,명사,직장에 다니다
910,2급,직접02/직접01,부사/명사,직접 만나다
911,2급,진짜02/진짜01,부사/명사,진짜 괜찮다
912,2급,진하다,형용사,안개가 진하다
913,2급,짐,명사,짐을 싸다
914,2급,집들이,명사,집들이에 초대하다
915,2급,집안일,명사,집안일을 돕다
916,2급,짓다,동사,집을 짓다
917,2급,짜증,명사,짜증을 내다
918,2급,짝01,명사,짝을 맞추다
919,2급,짧다,형용사,다리가 짧다
920,2급,짬뽕,명사,짬뽕을 시키다
921,2급,찌개,명사,찌개를 끓이다
922,2급,찌다01,동사,살이 찌다
923,2급,찌다02,동사,감자를 찌다
924,2급,차01,명사,차를 마시다
925,2급,차02,명사,차를 타다
926,2급,차갑다,형용사,물이 차갑다
927,2급,차다01,동사,가득 차다
928,2급,차다02,동사,공을 차다
929,2급,차다03,동사,시계를 차다
930,2급,차다04,형용사,바람이 차다
931,2급,차례01,명사,차례를 지키다
932,2급,착하다,형용사,착한 사람
933,2급,찬물,명사,찬물을 마시다
934,2급,참다,동사,기침을 참다
935,2급,찾아가다,동사,교실로 찾아가다
936,2급,찾아오다,동사,손님이 찾아오다
937,2급,채소,명사,채소를 먹다
938,2급,책장02,명사,가구
939,2급,첫,관형사,첫 만남
940,2급,첫날,명사,새해 첫날
941,2급,첫째02/첫째01/첫째03,수사/관형사/명사,순서
942,2급,청년,명사,젊은 청년
943,2급,청바지,명사,청바지를 입다
944,2급,청소년,명사,청소년 시절
945,2급,체육관,명사,실내 체육관
946,2급,쳐다보다,동사,위를 쳐다보다
947,2급,초02,의존명사,5월 초
948,2급,초03,의존명사,1분 50초
949,2급,초대장,명사,결혼식 초대장
950,2급,초등학교,명사,초등학교에 입학하다
951,2급,초등학생,명사,초등학생이 되다
952,2급,초록색,명사,색
953,2급,최고02,명사,최고 점수
954,2급,최근,명사,최근 개봉작
955,2급,추석,명사,명절
956,2급,축구공,명사,축구공을 차다
957,2급,출구,명사,출구로 나가다
958,2급,출근,명사,출근 시간
959,2급,출석,명사,출석을 부르다
960,2급,출입,명사,출입 금지
961,2급,출입국,명사,출입국 사무소
962,2급,출장,명사,출장을 가다
963,2급,출퇴근,명사,출퇴근 시간
964,2급,충분하다,형용사,시간이 충분하다
965,2급,취소,명사,예약 취소
966,2급,취직,명사,대기업 취직
967,2급,치과,명사,치과 의사
968,2급,치료,명사,응급 치료
969,2급,치약,명사,치약을 짜다
970,2급,치킨,명사,양념 치킨
971,2급,친척,명사,친척이 모이다
972,2급,침실,명사,침실에서 자다
973,2급,칫솔,명사,칫솔과 치약
974,2급,칭찬,명사,칭찬을 듣다
975,2급,카레,명사,인도 카레
976,2급,카페,명사,카페에서 만나다
977,2급,칼,명사,칼로 썰다
978,2급,칼국수,명사,바지락 칼국수
979,2급,켜다02,동사,바이올린을 켜다
980,2급,켤레,의존명사,한 켤레
981,2급,코끼리,명사,동물
982,2급,콧물,명사,콧물이 나오다
983,2급,콩,명사,콩을 재배하다
984,2급,크기,명사,크기가 작다
985,2급,크리스마스,명사,크리스마스 파티
986,2급,큰소리,명사,큰소리가 들리다
987,2급,키우다,동사,강아지를 키우다
988,2급,킬로그램,의존명사,무게
989,2급,킬로미터,의존명사,거리
990,2급,타다03,동사,커피를 타다
991,2급,탕수육,명사,탕수육을 먹다
992,2급,태극기,명사,태극기를 달다
993,2급,태도,명사,수업 태도
994,2급,태어나다,동사,아이가 태어나다
995,2급,태풍,명사,태풍이 불다
996,2급,택배,명사,택배로 보내다
997,2급,테니스장,명사,테니스장에 가다
998,2급,테이블00,명사,테이블에 놓다
999,2급,토끼,명사,토끼 사냥
1000,2급,토마토,명사,토마토 주스
1001,2급,통장,명사,은행 통장
1002,2급,통화02,명사,전화 통화
1003,2급,퇴원,명사,입원과 퇴원
1004,2급,튀기다02,동사,기름에 튀기다
1005,2급,튀김,명사,튀김이 바삭하다
1006,2급,트럭,명사,트럭 운전자
1007,2급,특별히,부사,특별히 좋아하다
1008,2급,튼튼하다,형용사,몸이 튼튼하다
1009,2급,틀다,동사,텔레비전을 틀다
1010,2급,틀리다01,동사,답이 틀리다
1011,2급,팀,명사,팀을 이루다
1012,2급,파란색,명사,색
1013,2급,파랗다,형용사,하늘이 파랗다
1014,2급,팔리다,동사,물건이 팔리다
1015,2급,펴다,동사,우산을 펴다
1016,2급,편리,명사,교통이 편리하다
1017,2급,편안,명사,마음이 편안하다
1018,2급,편찮다,형용사,몸이 편찮다
1019,2급,편하다,형용사,마음이 편하다
1020,2급,평소,명사,평소 때
1021,2급,평일,명사,평일과 주말
1022,2급,포장01,명사,선물 포장
1023,2급,푸르다,형용사,숲이 푸르다
1024,2급,푹,부사,푹 자다
1025,2급,풀다,동사,나사를 풀다
1026,2급,풍경,명사,자연 풍경
1027,2급,프라이팬,명사,프라이팬에 볶다
1028,2급,피01,명사,피를 뽑다
1029,2급,피다,동사,꽃이 피다
1030,2급,피자,명사,피자를 주문하다
1031,2급,하늘,명사,하늘과 땅
1032,2급,하늘색,명사,색
1033,2급,-하다,접사,건강하다
1034,2급,하숙비,명사,하숙비를 내다
1035,2급,하얀색,명사,색
1036,2급,하얗다,형용사,눈이 하얗다
1037,2급,학기,명사,학기가 시작되다
1038,2급,학년,명사,1학년
1039,2급,학원,명사,피아노 학원
1040,2급,한강,명사,한강 공원
1041,2급,한글,명사,한글을 쓰다
1042,2급,한두,관형사,한두 명
1043,2급,한번,명사,한번 해 보다
1044,2급,한식03,명사,한식 메뉴
1045,2급,한식집,명사,한식집에서 식사하다
1046,2급,한옥,명사,한옥 마을
1047,2급,한잔,명사,한잔 마시다
1048,2급,한턱,명사,한턱을 내다
1049,2급,할인,명사,할인 가격
1050,2급,항공,명사,항공 회사
1051,2급,항공권,명사,항공권을 예약하다
1052,2급,항상,부사,항상 같다
1053,2급,해01/해02,명사/의존명사,해가 뜨다
1054,2급,해마다,부사,해마다 만나다
1055,2급,해외,명사,해외 유학
1056,2급,해외여행,명사,해외여행을 가다
1057,2급,햄버거,명사,햄버거를 먹다
1058,2급,햇빛,명사,햇빛이 비치다
