,등급,어휘,품사,길잡이말
302,2급,뜨겁다,형용사,뜨거운 국물
303,2급,뜨다05,동사,눈을 뜨다
304,2급,뜻,명사,단어의 뜻
305,2급,라디오,명사,라디오를 켜다
306,2급,레스토랑,명사,고급 레스토랑
307,2급,마당01,명사,마당 청소
308,2급,마르다01,동사,목이 마르다
309,2급,마을,명사,마을 주민
310,2급,마중,명사,마중을 나가다
311,2급,마지막,명사,마지막 시간
312,2급,마치다,동사,준비를 마치다
313,2급,마트,명사,마트에서 사다
314,2급,막걸리,명사,막걸리를 마시다
315,2급,막히다,동사,구멍이 막히다
316,2급,만두,명사,만두를 빚다
317,2급,만약,명사,만약의 경우
318,2급,만일,명사,만일의 경우
319,2급,만지다,동사,손을 만지다
320,2급,만화,명사,만화를 그리다
321,2급,말04,명사,말 한 마리
322,2급,말06,의존명사,학기 말
323,2급,맞추다,동사,부품을 맞추다
324,2급,매년02/매년01,부사/명사,매년 증가하다
325,2급,매다01,동사,신발 끈을 매다
326,2급,매달02/매달01,부사/명사,매달 월요일
327,2급,매우,부사,매우 좋다
328,2급,매주02/매주01,부사/명사,매주 월요일
329,2급,매표소,명사,영화관 매표소
330,2급,맥주,명사,맥주를 마시다
331,2급,머리카락,명사,긴 머리카락
332,2급,멀리,부사,멀리 날다
333,2급,멈추다,동사,피가 멈추다
334,2급,멋,명사,멋을 부리다
335,2급,메다,동사,가방을 메다
336,2급,메모,명사,메모를 남기다
337,2급,메시지,명사,문자 메시지
338,2급,메일,명사,메일 주소
339,2급,명절,명사,명절 연휴
340,2급,모기,명사,모기에 물리다
341,2급,모든,관형사,모든 사람
342,2급,모습,명사,웃는 모습
343,2급,모시다,동사,고객을 모시다
344,2급,모양01,명사,별 모양
345,2급,모으다,동사,장난감을 모으다
346,2급,모이다,동사,한데 모이다
347,2급,모임,명사,모임에 나가다
348,2급,모자라다,동사,돈이 모자라다
349,2급,목걸이,명사,진주 목걸이
350,2급,목도리,명사,목도리를 두르다
351,2급,목소리,명사,낮은 목소리
352,2급,목욕,명사,목욕 용품
353,2급,목적,명사,목적을 이루다
354,2급,못생기다,형용사,얼굴이 못생기다
355,2급,무01,명사,채소
356,2급,무게,명사,무게를 재다
357,2급,무궁화,명사,꽃
358,2급,무료01,명사,무료 증정
359,2급,무릎,명사,신체
360,2급,무섭다,형용사,귀신이 무섭다
361,2급,무척,부사,무척 길다
362,2급,문제,명사,문제를 풀다
363,2급,물고기,명사,물고기를 잡다
364,2급,물론02/물론01,부사/명사,물론 그렇다
365,2급,물어보다,동사,길을 물어보다
366,2급,미끄러지다,동사,계단에서 미끄러지다
367,2급,미래,명사,미래를 계획하다
368,2급,미리,부사,미리 알리다
369,2급,미술관,명사,국립 미술관
370,2급,미역국,명사,미역국을 끓이다
371,2급,미터,의존명사,백 미터
372,2급,믿다,동사,거짓말을 믿다
373,2급,밀가루,명사,밀가루 음식
374,2급,밀다,동사,문을 밀다
375,2급,바깥,명사,바깥에 나가다
376,2급,바깥쪽,명사,바깥쪽으로 나가다
377,2급,바뀌다,동사,감독이 바뀌다
378,2급,바닥,명사,바닥에 떨어지다
379,2급,바닷가,명사,바닷가에서 놀다
380,2급,바라다,동사,성공을 바라다
381,2급,바라보다,동사,하늘을 바라보다
382,2급,바르다01,동사,약을 바르다
383,2급,바이올린,명사,바이올린을 켜다
384,2급,박수,명사,박수를 치다
385,2급,반대,명사,반대 방향
386,2급,반드시,부사,반드시 해 내다
387,2급,반바지,명사,반바지를 입다
388,2급,반지,명사,반지를 끼다
389,2급,반찬,명사,반찬을 만들다
390,2급,받아쓰다,동사,공책에 받아쓰다
391,2급,발가락,명사,발가락이 아프다
392,2급,발바닥,명사,발바닥을 간지럽히다
393,2급,밝다02/밝다01,형용사/동사,불빛이 밝다
394,2급,방금02/방금01,부사/명사,방금 가다
395,2급,방문02,명사,방문을 닫다
396,2급,방문03,명사,고향 방문
397,2급,방법,명사,사용 방법
398,2급,방송01,명사,방송에 출연하다
399,2급,방송국,명사,라디오 방송국
400,2급,방향,명사,반대 방향
401,2급,배05,명사,두 배
402,2급,배달02,명사,신문 배달
403,2급,배드민턴,명사,배드민턴을 치다
404,2급,배추,명사,채소
405,2급,배탈,명사,배탈이 나다
406,2급,뱀,명사,동물
407,2급,버릇,명사,버릇을 고치다
408,2급,버리다01,동사,휴지를 버리다
409,2급,번째,의존명사,세 번째
410,2급,벌02,의존명사,옷 한 벌
411,2급,벌다02,동사,돈을 벌다
412,2급,벌써,부사,벌써 도착하다
413,2급,벗다,동사,모장을 벗다
414,2급,벽,명사,벽에 걸다
415,2급,변하다,동사,모양이 변하다
416,2급,변호사,명사,직업
417,2급,별01,명사,별이 빛나다
418,2급,병문안,명사,병문안을 가다
419,2급,보라색,명사,색
420,2급,보이다01,동사,산이 보이다
421,2급,보이다02,동사,사진을 보이다
422,2급,복습,명사,예습과 복습
423,2급,복잡하다,형용사,생각이 복잡하다
424,2급,볶다,동사,마늘을 볶다
425,2급,볶음밥,명사,볶음밥을 만들다
426,2급,봉투,명사,편지 봉투
427,2급,뵙다,동사,어른을 뵙다
428,2급,부끄럽다,형용사,부끄러운 표정
429,2급,부드럽다,형용사,옷감이 부드럽다
430,2급,부럽다,형용사,부러운 마음
431,2급,부르다02,형용사,배가 부르다
432,2급,부부,명사,가족
433,2급,부분,명사,부분과 전체
434,2급,부인01,명사,아내
435,2급,부자02,명사,자산가
436,2급,부장,명사,부장으로 승진하다
437,2급,부족01,명사,산소 부족
438,2급,부지런하다,형용사,부지런한 사람
439,2급,부치다02,동사,편지를 부치다
440,2급,북쪽,명사,방향
441,2급,분명하다,형용사,발음이 분명하다
442,2급,분식,명사,분식으로 끼니를 때우다
443,2급,분위기,명사,어색한 분위기
444,2급,분홍색,명사,색
445,2급,불쌍하다,형용사,불쌍한 사람
446,2급,불안,명사,불안을 느끼다
447,2급,불편,명사,불편한 신발
448,2급,붉다,형용사,붉은 입술
449,2급,붙다,동사,먼지가 붙다
450,2급,붙이다,동사,우표를 붙이다
451,2급,블라우스,명사,블라우스를 입다
452,2급,비교,명사,비교 대상
453,2급,비누,명사,비누로 씻다
454,2급,비다,동사,자리가 비다
455,2급,비디오,명사,비디오를 빌리다
456,2급,비밀,명사,비밀을 지키다
457,2급,비슷하다,형용사,외모가 비슷하다
458,2급,빌딩,명사,빌딩을 짓다
459,2급,빠지다02,동사,강에 빠지다
460,2급,빨간색,명사,색
461,2급,빨갛다,형용사,코가 빨갛다
462,2급,빨다02,동사,옷을 빨다
463,2급,빨래,명사,이불 빨래
464,2급,빵집,명사,빵집에서 일하다
465,2급,빼다01,동사,못을 빼다
466,2급,뽑다,동사,흰머리를 뽑다
467,2급,사거리,명사,사거리를 건너다
468,2급,사계절,명사,사계절이 뚜렷하다
469,2급,사고01,명사,사고가 나다
470,2급,사실01/사실02,명사/부사,사실을 밝히다
471,2급,사업,명사,유통 사업
472,2급,사이즈,명사,신발 사이즈
473,2급,사장,명사,회사 사장
474,2급,사탕,명사,사탕을 먹다
475,2급,사흘,명사,사흘 동안
476,2급,살01,명사,살이 찌다
477,2급,삼거리,명사,삼거리 모퉁이
478,2급,삼겹살,명사,음식
479,2급,삼촌,명사,친척
480,2급,상06,명사,상을 받다
481,2급,상자,명사,상자에 넣다
482,2급,상처02,명사,상처를 치료하다
483,2급,상추,명사,상추를 먹다
484,2급,상품02,명사,상품을 팔다
485,2급,새02,명사,동물
486,2급,새03,관형사,새 옷
487,2급,새로,부사,새로 사다
488,2급,새롭다,형용사,감회가 새롭다
489,2급,새벽,명사,새벽 시간
490,2급,새해,명사,새해 인사
491,2급,색,명사,색깔
492,2급,색깔,명사,색깔이 진하다
493,2급,샌드위치,명사,음식
494,2급,생각나다,동사,아이디어가 생각나다
495,2급,생기다01,동사,건물이 생기다
496,2급,생선,명사,생선 구이
497,2급,서너,관형사,서너 개
498,2급,서다,동사,똑바로 서다
499,2급,서두르다,동사,준비를 서두르다
500,2급,서랍,명사,서랍을 열다
501,2급,서로02,부사,서로 믿다
502,2급,서류,명사,서류 접수
503,2급,서비스,명사,서비스 정신
504,2급,서양,명사,동양과 서양
505,2급,서쪽,명사,방향
506,2급,섞다,동사,카드를 섞다
507,2급,선배,명사,선배와 후배
508,2급,선선하다,형용사,선선한 날씨
509,2급,선수02,명사,축구 선수
510,2급,선택,명사,직업 선택
511,2급,선풍기,명사,선풍기를 켜다
512,2급,설거지,명사,집안일
513,2급,설날,명사,명절
514,2급,설렁탕,명사,음식
515,2급,설탕,명사,설탕을 넣다
516,2급,섬03,명사,섬에서 살다
517,2급,섭섭하다,형용사,서운하다
518,2급,성02,명사,김 씨
519,2급,성격,명사,긍정적인 성격
520,2급,성공,명사,성공의 비결
521,2급,성적03,명사,시험 성적
522,2급,성함,명사,아버지 성함
523,2급,세05,의존명사,삼십 세
524,2급,세계,명사,
525,2급,세다03,형용사,힘이 세다
526,2급,세배,명사,세배를 드리다
527,2급,세상,명사,세상이 넓다
528,2급,세우다,동사,자리에서 세우다
529,2급,세탁,명사,세탁을 맡기다
530,2급,세탁기,명사,세탁기를 돌리다
531,2급,세탁소,명사,세탁소에 옷을 맡기다
532,2급,센터,명사,서비스 센터
533,2급,센티미터,의존명사,십 센티미터
534,2급,셋째02/셋째01/셋째03,수사/관형사/명사,순서
535,2급,소02,명사,소를 기르다
536,2급,소고기,명사,소고기를 먹다
537,2급,소리,명사,소리가 나다
538,2급,소설02,명사,소설을 읽다
539,2급,소식02,명사,소식을 듣다
540,2급,소주,명사,소주를 마시다
541,2급,소중하다,형용사,소중한 생명
542,2급,소파,명사,소파에 앉다
543,2급,소포,명사,소포를 부치다
544,2급,소풍,명사,소풍을 가다
545,2급,소화제,명사,소화제를 먹다
546,2급,속,명사,주머니 속
547,2급,속도,명사,속도가 빠르다
548,2급,속옷,명사,속옷을 입다
549,2급,손가락,명사,손가락이 길다
550,2급,손녀,명사,손녀와 손자
551,2급,손바닥,명사,손바닥을 맞대다
552,2급,손수건,명사,손수건으로 닦다
553,2급,송편,명사,송편을 먹다
554,2급,수10,명사,숫자
555,2급,수건,명사,수건으로 닦다
556,2급,수고,명사,수고를 덜다
557,2급,수술02,명사,수술을 받다
558,2급,수영복,명사,수영복을 입다
559,2급,수저,명사,수저를 놓다
560,2급,순두부찌개,명사,순두부찌개를 끓이다
561,2급,순서,명사,순서를 매기다
562,2급,숟가락,명사,숟가락을 들다
563,2급,술집,명사,술집 출입
564,2급,숫자,명사,숫자를 세다
565,2급,쉬다04,동사,숨을 쉬다
566,2급,쉰02/쉰01,수사/관형사,숫자
567,2급,스무,관형사,숫자
568,2급,스스로02/스스로01,부사/명사,스스로 일어서다
569,2급,스웨터,명사,스웨터를 입다
570,2급,스카프,명사,스카프를 매다
571,2급,스케이트,명사,스케이트를 신다
572,2급,스키장,명사,스키장에서 놀다
573,2급,스타,명사,인기 스타
574,2급,스트레스,명사,
575,2급,스파게티,명사,스파게티를 먹다
576,2급,스포츠,명사,스포츠 경기
577,2급,슬퍼하다,동사,죽음을 슬퍼하다
578,2급,슬픔,명사,슬픔에 잠기다
579,2급,습관,명사,습관을 기르다
580,2급,시01,명사,시 예산
581,2급,시간표,명사,시간표를 짜다
582,2급,시계01,명사,시계 소리
583,2급,시골,명사,시골 마을
584,2급,시끄럽다,형용사,시끄러운 소리
585,2급,시내02,명사,서울 시내
586,2급,시민,명사,시민 의식
587,2급,시어머니,명사,시어머니를 모시다
588,2급,식구,명사,집안 식구
589,2급,식다,동사,국이 식다
590,2급,식빵,명사,식빵을 먹다
591,2급,식초,명사,식초 냄새
592,2급,식탁,명사,식탁을 차리다
593,2급,식품,명사,식품을 섭취하다
594,2급,신랑,명사,신랑과 신부
595,2급,신부02,명사,아름다운 신부
596,2급,신분증,명사,신분증 재발급
597,2급,신선하다,형용사,신선한 과일
598,2급,신청,명사,신청을 받다
599,2급,신호,명사,신호를 기다리다
600,2급,신호등,명사,신호등을 기다리다
601,2급,신혼여행,명사,신혼여행을 떠나다
602,2급,싣다,동사,짐을 싣다
603,2급,실수,명사,실수를 범하다
604,2급,실패02,명사,성공과 실패
605,2급,심다,동사,나무를 심다
606,2급,심심하다01,형용사,심심한 날
607,2급,심하다,형용사,장난이 심하다
608,2급,싸다01,동사,짐을 싸다
609,2급,싸우다,동사,친구와 싸우다
610,2급,쌀,명사,쌀을 먹다
611,2급,쌀쌀하다,형용사,쌀쌀한 날씨
612,2급,쌓다01,동사,물건을 쌓다
613,2급,썰다,동사,오이를 썰다
614,2급,쓰다02,동사,모자를 쓰다
615,2급,쓰레기,명사,쓰레기를 줍다
616,2급,쓰레기통,명사,쓰레기통에 버리다
617,2급,씹다,동사,껌을 씹다
618,2급,아가씨,명사,예쁜 아가씨
619,2급,아까02/아까01,부사/명사,아까 먹다
620,2급,아나운서,명사,아나운서가 보도하다
621,2급,아니02,감탄사,
622,2급,아들,명사,아들을 낳다
623,2급,아래쪽,명사,길의 아래쪽
624,2급,아마,부사,
625,2급,아무02/아무01,관형사/대명사,아무 책
626,2급,아무것,명사,아무것이나 괜찮다
627,2급,아무리01,부사,
628,2급,아버님,명사,아버님의 말씀
629,2급,아빠,명사,아빠와 엄마
630,2급,아줌마,명사,아줌마와 아저씨
631,2급,악기,명사,악기를 연주하다
632,2급,안개,명사,안개가 끼다
633,2급,안내문,명사,안내문을 받다
634,2급,안다,동사,아기를 안다
635,2급,안되다01,동사,공부가 안되다
636,2급,안전01,명사,안전을 지키다
637,2급,안쪽,명사,상자 안쪽
638,2급,알맞다,형용사,알맞은 단어
639,2급,알아보다,동사,정보를 알아보다
640,2급,앞쪽,명사,앞쪽 길
641,2급,애02,명사,애를 돌보다
642,2급,애인,명사,애인과 연애하다
643,2급,앨범,명사,앨범을 펼치다
644,2급,야02,감탄사,
645,2급,야채,명사,야채를 데치다
646,2급,약간02/약간01,부사/명사,약간 크다
647,2급,약사,명사,약사가 되다
648,2급,약하다,형용사,맥박이 약하다
649,2급,얇다,형용사,얇은 껍질
650,2급,양말,명사,양말을 신다
651,2급,양복,명사,양복 차림
652,2급,양식03,명사,양식을 먹다
653,2급,양식집,명사,양식집에 가다
654,2급,양치질,명사,양치질 습관
655,2급,얘기,명사,얘기를 꺼내다
656,2급,어02,감탄사,
657,2급,어깨,명사,어깨가 넓다
658,2급,어둡다,형용사,어두운 밤
659,2급,어떠하다,형용사,어떠한 문제
660,2급,어른,명사,어른이 되다
661,2급,어리다02,형용사,어린 시절
662,2급,어린아이,명사,어린아이가 울다
663,2급,어린이,명사,어린이 도서관
664,2급,어머님,명사,어머님과 아버님
665,2급,어울리다,동사,사람들과 어울리다
666,2급,어젯밤,명사,어젯밤 꿈
667,2급,언어,명사,음성 언어
668,2급,언제나,부사,
669,2급,얻다,동사,음식을 얻다
670,2급,얼다,동사,강이 얼다
671,2급,얼음,명사,얼음이 녹다
672,2급,엄마,명사,엄마를 닮다
673,2급,엉덩이,명사,엉덩이를 두드리다
674,2급,엘리베이터,명사,엘리베이터를 타다
675,2급,여기저기,명사,여기저기 돌아다니다
676,2급,여성,명사,여성과 남성
677,2급,여쭙다,동사,선생님께 여쭙다
678,2급,여학생,명사,여학생 기숙사
679,2급,여행지,명사,신혼 여행지
680,2급,역사,명사,한국의 역사
681,2급,역시,부사,나 역시
682,2급,연결,명사,연결이 끊기다
683,2급,연락,명사,연락을 주다
684,2급,연락처,명사,연락처를 남기다
685,2급,연말,명사,연말 모임
686,2급,연세,명사,연세가 많다
687,2급,연예인,명사,유명 연예인
688,2급,연휴,명사,추석 연휴
689,2급,열04,명사,열이 나다
690,2급,열리다02,동사,문이 열리다
691,2급,열차,명사,열차를 타다
692,2급,열흘,명사,열흘의 휴가
693,2급,엽서,명사,엽서를 배달하다
694,2급,영수증,명사,영수증을 끊다
695,2급,영하,명사,영하의 기온
696,2급,옆집,명사,옆집 아저씨
697,2급,예매,명사,영화표 예매
698,2급,예순02/예순01,수사/관형사,숫자
699,2급,예술,명사,예술 작품
700,2급,예습,명사,예습과 복습
701,2급,예약,명사,호텔 예약
702,2급,옛,관형사,옛 친구
703,2급,옛날,명사,먼 옛날
704,2급,오래,부사,오래 걸리다
705,2급,오래간만,명사,오래간만에 만나다
706,2급,오래되다,형용사,오래된 건물
707,2급,오랜만,명사,오랜만에 만나다
708,2급,오랫동안,명사,오랫동안 사귀다
709,2급,오르다,동사,값이 오르다
710,2급,오른손,명사,오른손을 들다
711,2급,오이,명사,오이를 썰다
712,2급,온도,명사,온도가 높다
713,2급,올라오다,동사,정상에 올라오다
714,2급,올리다,동사,값을 올리다
715,2급,올림01,명사,홍길동 올림
716,2급,올림픽,명사,올림픽 경기
717,2급,옳다01,형용사,판단이 옳다
718,2급,옷걸이,명사,옷걸이에 걸다
719,2급,옷장,명사,옷장을 정리하다
720,2급,와이셔츠,명사,와이셔츠를 입다
721,2급,완전히,부사,완전히 끝나다
722,2급,왕,명사,왕과 왕비
723,2급,왜냐하면,부사,
724,2급,외롭다,형용사,외로운 인생
725,2급,외우다,동사,단어를 외우다
726,2급,외출,명사,외출을 삼가다
727,2급,왼손,명사,왼손을 들다
728,2급,요금,명사,전화 요금
729,2급,요리사,명사,한식 요리사
730,2급,우동,명사,우동을 먹다
731,2급,우리나라,명사,우리나라 사람
732,2급,우선01,부사,우선 먼저
733,2급,운동복,명사,운동복을 입다
734,2급,운전사,명사,트럭 운전사
735,2급,울산,명사,도시
736,2급,울음,명사,울음을 그치다
737,2급,움직이다,동사,몸을 움직이다
738,2급,웃음,명사,웃음이 나다
739,2급,원피스,명사,원피스를 입다
740,2급,원하다,동사,도움을 원하다
741,2급,월급,명사,월급을 받다
742,2급,위쪽,명사,위쪽과 아래쪽
743,2급,위치,명사,위치를 옮기다
744,2급,위험,명사,위험이 닥치다
745,2급,유리02,명사,유리가 깨지다
746,2급,유치원,명사,유치원에 입학하다
747,2급,유학01,명사,유학을 가다
